codigo_med,tipo_suministro,medicamento,categoria_eess,periodo,cantidad,precio_unitario,valor_2,stock_items,valor_4,consumo_items
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202202,210,0.45,210,1406,188,1066
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202203,486,0.45,486,1406,188,2450
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202204,1100,0.3667,1100,1406,188,4340
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202205,800,0.3667,800,1406,188,3420
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202206,670,0.2,670,1406,188,3600
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202207,750,0.2,750,1406,188,2690
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202208,1570,0.2,1570,1406,188,2680
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202209,1570,0.2,1570,1406,188,2990
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202210,1810,0.2333,1810,1406,188,3670
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202211,1240,0.2333,1240,1406,188,2240
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202212,560,0.2333,560,1406,188,3180
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202301,275,0.2333,275,1406,188,1085
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202302,1120,0.2,1120,1406,188,1115
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202303,930,0.5,930,1406,188,10075
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202304,115,0.5,115,1406,188,9960
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202305,450,0.44,450,1406,188,15440
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202306,1214,0.44,1214,1406,188,14216
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202307,446,0.44,446,1406,188,13770
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202308,1122,0.44,1122,1406,188,13148
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202309,1282,0.44,1282,1406,188,14866
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202310,824,0.44,824,1406,188,4942
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202311,1244,0.4,1244,1406,188,5198
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202312,1532,0.4,1532,1406,188,4666
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202401,1091,0.4,1091,1406,188,3575
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202402,1325,0.425,1325,1406,188,5050
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202403,1516,0.425,1516,1406,188,2914
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202404,891,0.425,891,1406,188,3841
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202405,1171,0.4,1171,1406,188,4200
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202406,1162,0.4,1162,1406,188,6420
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202407,1916,0.4,1916,1406,188,11004
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202408,1632,0.4,1632,1406,188,10372
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202409,2269,0.4,2269,1406,188,13041
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202410,1146,0.4,1146,1406,188,11663
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202411,1489,0.3889,1489,1406,188,10804
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202412,1074,0.3818,1074,1406,188,10190
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202501,1495,0.3636,1495,1406,188,9285
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202502,1331,0.3636,1331,1406,188,8474
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202503,585,0.3545,585,1406,188,7158
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202504,847,0.1545,847,1406,188,9082
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202505,944,0.1455,944,1406,188,10438
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202506,1592,0.1455,1592,1406,188,9046
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202507,1529,0.1455,1529,1406,188,8617
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202508,1128,0.1455,1128,1406,188,8489
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202509,1083,0.1455,1083,1406,188,7286
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202510,1206,0.1455,1206,1406,188,6500
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202511,1614,0.15,1614,1406,188,5826
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202512,1124,0.15,1124,1406,188,5554
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202601,1905,0.15,1905,1406,188,6237
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202602,1113,0.15,1113,1406,188,6356
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202603,1202,0.15,1202,1406,188,6654
04764,S,METOTREXATO  2.5 mg TABLETA,FARMACIA INSTITUCIONAL,202604,1074,0.15,1074,1406,188,6540
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202104,33120,0.1954,4071,27274,1685,358264
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202105,39604,0.1672,3385,33524,1835,343795
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202106,43478,0.2147,3343,30322,2187,371854
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202107,44846,0.1765,4278,29863,4174,335530
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202108,48252,0.21,3801,34342,5552,408939
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202109,53788,0.2043,4059,42690,1691,308053
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202110,48203,0.2029,5053,39399,2658,274899
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202111,81813,0.1871,4193,45129,707,304803
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202112,58457,0.1985,4715,41456,5929,369454
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202201,52587,0.242,4699,39700,8188,314794
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202202,55503,0.2456,4379,44476,5550,272877
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202203,67839,0.2371,4616,52196,7193,349115
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202204,56640,0.2371,4619,47189,4021,355994
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202205,63953,0.1946,4853,53524,5566,356286
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202206,64986,0.1946,5261,52619,6708,379614
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202207,70961,0.2289,4604,54307,12050,372699
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202208,63858,0.2231,3051,51317,9380,345591
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202209,74328,0.2351,4914,51450,16764,325316
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202210,81318,0.2727,5842,54816,20204,319080
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202211,77756,0.2756,4451,55072,17963,376077
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202212,89430,0.2949,6037,61042,22037,474697
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202301,100432,0.3,5557,78813,15486,386505
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202302,83037,0.3051,5234,74877,2535,451167
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202303,104374,0.3139,5908,88600,9284,506394
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202304,103064,0.3025,5702,82945,13706,429335
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202305,101025,0.2778,5596,88747,5935,688076
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202306,106039,0.3024,5384,97443,2595,739146
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202307,114868,0.3167,5476,108309,637,724057
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202308,127209,0.3129,6018,120291,310,756983
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202309,130359,0.3198,6068,121302,2131,728803
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202310,118331,0.325,4686,111585,1420,702735
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202311,124125,0.3284,6425,115899,691,669028
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202312,110324,0.3429,5871,102900,487,731287
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202401,114558,276.8581,6601,104950,2188,631427
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202402,108354,0.3349,4455,101435,1820,580480
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202403,129324,0.3174,5253,113413,10224,640042
