codigo,medicamento,consumo_total_items,consumo_secundario_items
29976,PUNTERA AZUL 100 uL - 1000 uL   UNIDAD,153187,11300
45221,PRUEBA RAPIDA CUALITATIVA DE ANTIGENO ESPECIFICO PARA SARS-CoV2 (COVID-19) INMUNOENSAYO CROMATOGRAFICO DETERMINACION - UNIDAD,143248,16933
10155,"AGUJA HIPODERMICA DESCARTABLE N° 23 G X 1""   UNIDAD",101389,58326
17563,"JERINGA DESCARTABLE 3 mL CON AGUJA 23 G X 1"" - - UNIDAD",138101,19769
11372,"JERINGA DESCARTABLE 1 mL CON AGUJA 22 G X 1 1/2""   UNIDAD",149408,6448
32601,GLUCOSA ENZIMATICA 1 DET  KIT,133131,21462
35343,"MANDIL DESCARTABLE NO ESTERIL TALLA ""L""   UNIDAD",109764,41421
00259,ALBENDAZOL 20 mL 100 mg/5 mL SUSPENSION,80881,70196
21624,COLESTEROL TOTAL ENZIMATICO 1 DET  KIT,124552,22570
03213,ESCOPOLAMINA N-BUTILBROMURO 1 mL 20 mg/mL INYECTABLE,115469,31042
06239,TRAMADOL CLORHIDRATO  50 mg TABLETA,108887,34480
05688,RIFAMPICINA  300 mg TABLETA,109463,32376
02128,CLORFENAMINA MALEATO 1 mL 10 mg/mL INYECTABLE,79546,55863
04846,MIRTAZAPINA  30 mg TABLETA,135208,
22405,ENVASE DE PLASTICO CON TAPA ROSCA PARA ESPUTO 60 mL   UNIDAD,111308,23412
02884,DIMENHIDRINATO 5 mL 50 mg INYECTABLE,108028,25267
29930,MASCARILLA DESCARTABLE EFICIENCIA DE FILTRADO 95%   UNIDAD,116152,16041
00794,AMOXICILINA 60 mL 250 mg/5 mL SUSPENSION,54307,77047
03713,FUROSEMIDA  40 mg TABLETA,92821,37105
02319,CLOTRIMAZOL 20 g 1 g/100 g (1 %) CREMA,64109,64895
04695,METFORMINA CLORHIDRATO  500 mg TABLETA,87259,36416
04586,MEBENDAZOL  500 mg TABLETA,76390,47267
03921,HIDROCLOROTIAZIDA  25 mg TABLETA,74919,46937
22942,TUBO PARA EXTRACCION DE SANGRE CON SISTEMA DE VACIO DE POLIPROPILENO DE 4 mL CON EDTA DIPOTASICO   UNIDAD,110528,10452
19491,MANDILON DESCARTABLE TALLA L - - UNIDAD,76529,43504
08153,RETINOL(COMO PALMITATO)  200000 UI TABLETA,84023,35271
06437,"VACUNA ANTIPAROTIDITIS, RUBEOLA Y SARAMPION 1 DOSIS 700 DCI/0.5 mL INYECTABLE",70148,48983
38955,MANDIL DESCARTABLE NO ESTERIL TALLA M   UNIDAD,75334,43308
05491,PIRIDOXINA CLORHIDRATO  50 mg TABLETA,105373,12380
18331,VACUNA CONTRA EL ROTAVIRUS  PLV (SUSPENSION ORAL) 1 DOSIS  SUSPENSION,71103,44923
05588,PREDNISONA  20 mg TABLETA,77421,37009
