scenario,total_cost,base_cost,cost_variable,cost_fixed,cost_penalty,total_distance_km,tw_violations,cap_violations,cap_excess_kg,nodes_served,nodes_total,service_level,total_load_kg,n_routes,avg_utilization
26,12228.856326385037,5088.8563263850365,4058.8563263850365,1030.0,7140.0,2019.5987570290986,0,4,714.0,81,81,1.0,17929,10,0.71716
27,8718.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3630.0,2019.5987570290986,0,2,363.0,81,81,1.0,16330,10,0.6532
28,7048.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1960.0,2019.5987570290986,1,1,191.0,81,81,1.0,16172,10,0.64688
29,6958.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1870.0,2019.5987570290986,0,2,187.0,81,81,1.0,14889,10,0.59556
30,6818.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1730.0,2019.5987570290986,1,2,168.0,81,81,1.0,15044,10,0.60176
31,8978.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3890.0,2019.5987570290986,0,2,389.0,81,81,1.0,16961,10,0.67844
32,10478.856326385037,5088.8563263850365,4058.8563263850365,1030.0,5390.0,2019.5987570290986,0,4,539.0,81,81,1.0,16800,10,0.672
33,5738.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,650.0,2019.5987570290986,0,3,65.0,81,81,1.0,16362,10,0.65448
34,7508.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,2420.0,2019.5987570290986,0,1,242.0,81,81,1.0,16344,10,0.65376
35,7978.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,2890.0,2019.5987570290986,0,2,289.0,81,81,1.0,15183,10,0.60732
36,11238.856326385037,5088.8563263850365,4058.8563263850365,1030.0,6150.0,2019.5987570290986,0,2,615.0,81,81,1.0,16462,10,0.65848
37,6748.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1660.0,2019.5987570290986,1,3,161.0,81,81,1.0,15863,10,0.63452
38,13548.856326385037,5088.8563263850365,4058.8563263850365,1030.0,8460.0,2019.5987570290986,0,2,846.0,81,81,1.0,16391,10,0.65564
39,6288.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1200.0,2019.5987570290986,0,2,120.0,81,81,1.0,17067,10,0.68268
40,6108.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1020.0,2019.5987570290986,0,1,102.0,81,81,1.0,15885,10,0.6354
41,9678.856326385037,5088.8563263850365,4058.8563263850365,1030.0,4590.0,2019.5987570290986,0,2,459.0,81,81,1.0,16990,10,0.6796
42,10118.856326385037,5088.8563263850365,4058.8563263850365,1030.0,5030.0,2019.5987570290986,0,2,503.0,81,81,1.0,16099,10,0.64396
43,5088.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,0,2019.5987570290986,0,0,0,81,81,1.0,15028,10,0.60112
44,10148.856326385037,5088.8563263850365,4058.8563263850365,1030.0,5060.0,2019.5987570290986,0,3,506.0,81,81,1.0,16296,10,0.65184
45,6668.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1580.0,2019.5987570290986,0,2,158.0,81,81,1.0,15753,10,0.63012
46,11048.856326385037,5088.8563263850365,4058.8563263850365,1030.0,5960.0,2019.5987570290986,0,4,596.0,81,81,1.0,17278,10,0.69112
47,8288.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3200.0,2019.5987570290986,0,2,320.0,81,81,1.0,16066,10,0.64264
48,8568.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3480.0,2019.5987570290986,0,2,348.0,81,81,1.0,17274,10,0.69096
49,11488.856326385037,5088.8563263850365,4058.8563263850365,1030.0,6400.0,2019.5987570290986,0,3,640.0,81,81,1.0,17540,10,0.7016
50,5468.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,380.0,2019.5987570290986,0,1,38.0,81,81,1.0,15909,10,0.63636
51,6408.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1320.0,2019.5987570290986,0,2,132.0,81,81,1.0,17030,10,0.6812
52,9018.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3930.0,2019.5987570290986,1,3,388.0,81,81,1.0,16492,10,0.65968
53,10108.856326385037,5088.8563263850365,4058.8563263850365,1030.0,5020.0,2019.5987570290986,0,1,502.0,81,81,1.0,14622,10,0.58488
54,11248.856326385037,5088.8563263850365,4058.8563263850365,1030.0,6160.0,2019.5987570290986,0,5,616.0,81,81,1.0,16878,10,0.67512
55,7858.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,2770.0,2019.5987570290986,1,2,272.0,81,81,1.0,15600,10,0.624
56,8708.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3620.0,2019.5987570290986,0,3,362.0,81,81,1.0,15962,10,0.63848
57,7878.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,2790.0,2019.5987570290986,0,1,279.0,81,81,1.0,16911,10,0.67644
58,6838.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1750.0,2019.5987570290986,0,1,175.0,81,81,1.0,15612,10,0.62448
59,8608.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3520.0,2019.5987570290986,0,2,352.0,81,81,1.0,15224,10,0.60896
60,6668.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1580.0,2019.5987570290986,0,1,158.0,81,81,1.0,15192,10,0.60768
61,5178.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,90.0,2019.5987570290986,0,1,9.0,81,81,1.0,16037,10,0.64148
62,9048.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3960.0,2019.5987570290986,0,2,396.0,81,81,1.0,15947,10,0.63788
63,6118.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1030.0,2019.5987570290986,0,1,103.0,81,81,1.0,16592,10,0.66368
64,7758.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,2670.0,2019.5987570290986,0,3,267.0,81,81,1.0,16133,10,0.64532
65,8368.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3280.0,2019.5987570290986,0,4,328.0,81,81,1.0,15665,10,0.6266
66,6618.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1530.0,2019.5987570290986,0,2,153.0,81,81,1.0,15658,10,0.62632
67,6598.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1510.0,2019.5987570290986,0,2,151.0,81,81,1.0,16589,10,0.66356
68,6198.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1110.0,2019.5987570290986,1,2,106.0,81,81,1.0,17493,10,0.69972
69,16128.856326385037,5088.8563263850365,4058.8563263850365,1030.0,11040.0,2019.5987570290986,0,4,1104.0,81,81,1.0,17443,10,0.69772
70,7858.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,2770.0,2019.5987570290986,1,3,272.0,81,81,1.0,16323,10,0.65292
71,10428.856326385037,5088.8563263850365,4058.8563263850365,1030.0,5340.0,2019.5987570290986,0,4,534.0,81,81,1.0,15646,10,0.62584
72,5178.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,90.0,2019.5987570290986,0,2,9.0,81,81,1.0,15203,10,0.60812
73,5088.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,0,2019.5987570290986,0,0,0,81,81,1.0,15726,10,0.62904
74,7948.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,2860.0,2019.5987570290986,0,4,286.0,81,81,1.0,16233,10,0.64932
75,9268.856326385037,5088.8563263850365,4058.8563263850365,1030.0,4180.0,2019.5987570290986,0,3,418.0,81,81,1.0,14015,10,0.5606
76,9098.856326385037,5088.8563263850365,4058.8563263850365,1030.0,4010.0,2019.5987570290986,0,2,401.0,81,81,1.0,16108,10,0.64432
77,7858.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,2770.0,2019.5987570290986,0,1,277.0,81,81,1.0,15849,10,0.63396
78,5088.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,0,2019.5987570290986,0,0,0,81,81,1.0,15191,10,0.60764
79,8298.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3210.0,2019.5987570290986,0,1,321.0,81,81,1.0,16005,10,0.6402
80,9918.856326385037,5088.8563263850365,4058.8563263850365,1030.0,4830.0,2019.5987570290986,0,3,483.0,81,81,1.0,18134,10,0.72536
81,6328.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1240.0,2019.5987570290986,0,2,124.0,81,81,1.0,16181,10,0.64724
82,5208.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,120.0,2019.5987570290986,0,1,12.0,81,81,1.0,14964,10,0.59856
83,7678.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,2590.0,2019.5987570290986,0,1,259.0,81,81,1.0,16256,10,0.65024
84,7178.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,2090.0,2019.5987570290986,0,2,209.0,81,81,1.0,14917,10,0.59668
85,8578.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3490.0,2019.5987570290986,0,4,349.0,81,81,1.0,16398,10,0.65592
86,6458.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1370.0,2019.5987570290986,0,2,137.0,81,81,1.0,15352,10,0.61408
87,8868.856326385037,5088.8563263850365,4058.8563263850365,1030.0,3780.0,2019.5987570290986,0,2,378.0,81,81,1.0,16097,10,0.64388
88,9648.856326385037,5088.8563263850365,4058.8563263850365,1030.0,4560.0,2019.5987570290986,0,2,456.0,81,81,1.0,15565,10,0.6226
89,10028.856326385037,5088.8563263850365,4058.8563263850365,1030.0,4940.0,2019.5987570290986,0,2,494.0,81,81,1.0,16153,10,0.64612
90,10138.856326385037,5088.8563263850365,4058.8563263850365,1030.0,5050.0,2019.5987570290986,0,2,505.0,81,81,1.0,16429,10,0.65716
91,10878.856326385037,5088.8563263850365,4058.8563263850365,1030.0,5790.0,2019.5987570290986,0,4,579.0,81,81,1.0,16087,10,0.64348
92,5748.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,660.0,2019.5987570290986,0,2,66.0,81,81,1.0,14760,10,0.5904
93,5498.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,410.0,2019.5987570290986,0,1,41.0,81,81,1.0,14741,10,0.58964
94,6778.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1690.0,2019.5987570290986,0,1,169.0,81,81,1.0,15696,10,0.62784
95,9968.856326385037,5088.8563263850365,4058.8563263850365,1030.0,4880.0,2019.5987570290986,0,2,488.0,81,81,1.0,15908,10,0.63632
96,9408.856326385037,5088.8563263850365,4058.8563263850365,1030.0,4320.0,2019.5987570290986,0,2,432.0,81,81,1.0,16007,10,0.64028
97,7358.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,2270.0,2019.5987570290986,0,1,227.0,81,81,1.0,16172,10,0.64688
98,6538.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,1450.0,2019.5987570290986,0,1,145.0,81,81,1.0,14690,10,0.5876
99,5408.8563263850365,5088.8563263850365,4058.8563263850365,1030.0,320.0,2019.5987570290986,0,1,32.0,81,81,1.0,15751,10,0.63004
