responsable,direccion,unidadejec,codigounico,idunidadejec,disa,provincia,horaatencion,id,categoria,telefeno,idred,situacion,clasificacion,departamento,inicioactividad,codigounico2,nombrerazonsocial,idautosanit,distrito,ubigeo,tipodocumentocategoria,estado,institucion,red,condicion,fecha_inspecion,tipo,numerocategoria,microred,inspecion,idmicrored,query_primary,query_secondary,query_fallback,latitude,longitude,geocode_source,geocode_confidence,geocode_level,geocode_status,geocode_notes,geocode_priority
,OTROS CASERÍO EL SAUCE - LAS LOMAS CASERÍO EL SAUCE - LAS LOMAS LAS LOMAS PIURA PIURA,,1935,,,PIURA,,1877,,,,,,PIURA,,1935,PUESTO DE SALUD EL SAUCE-LAS LOMAS,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD EL SAUCE-LAS LOMAS, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERÍO EL SAUCE - LAS LOMAS CASERÍO EL SAUCE - LAS LOMAS LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO PAMPA ELERA BAJA CASERIO PAMPA ELERA BAJA LAS LOMAS PIURA PIURA,,1936,,,PIURA,,1878,,,,,,PIURA,,1936,PUESTO DE SALUD PAMPA ELERA BAJA,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD PAMPA ELERA BAJA, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO PAMPA ELERA BAJA CASERIO PAMPA ELERA BAJA LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO PELINGARA LAS LOMAS CASERIO PELINGARA LAS LOMAS LAS LOMAS PIURA PIURA,,1937,,,PIURA,,1879,,,,,,PIURA,,1937,PUESTO DE SALUD PELINGARA,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD PELINGARA, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO PELINGARA LAS LOMAS CASERIO PELINGARA LAS LOMAS LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO HUACHUMA ALTA - LAS LOMAS CASERIO HUACHUMA ALTA - LAS LOMAS LAS LOMAS PIURA PIURA,,1938,,,PIURA,,1880,,,,,,PIURA,,1938,PUESTO DE SALUD HUACHUMA ALTA,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD HUACHUMA ALTA, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO HUACHUMA ALTA - LAS LOMAS CASERIO HUACHUMA ALTA - LAS LOMAS LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO SAN FRANCISCO DE PAMPA ELERA CASERIO SAN FRANCISCO DE PAMPA ELERA LAS LOMAS PIURA PIURA,,1939,,,PIURA,,1881,,,,,,PIURA,,1939,PUESTO DE SALUD SAN FRANCISCO DE PAMPA ELERA,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD SAN FRANCISCO DE PAMPA ELERA, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO SAN FRANCISCO DE PAMPA ELERA CASERIO SAN FRANCISCO DE PAMPA ELERA LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO SANTA ELENA - LAS LOMAS CASERIO SANTA ELENA - LAS LOMAS LAS LOMAS PIURA PIURA,,1940,,,PIURA,,1882,,,,,,PIURA,,1940,PUESTO DE SALUD SANTA ELENA - LAS LOMAS,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD SANTA ELENA - LAS LOMAS, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO SANTA ELENA - LAS LOMAS CASERIO SANTA ELENA - LAS LOMAS LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO PUERTA PULACHE CASERIO PUERTA PULACHE LAS LOMAS PIURA PIURA,,1941,,,PIURA,,1883,,,,,,PIURA,,1941,PUESTO DE SALUD PUERTA PULACHE,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD PUERTA PULACHE, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO PUERTA PULACHE CASERIO PUERTA PULACHE LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CASERIO GARABATO LAS LOMAS CASERIO GARABATO LAS LOMAS LAS LOMAS PIURA PIURA,,1942,,,PIURA,,1884,,,,,,PIURA,,1942,PUESTO DE SALUD GARABATOS,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO DE SALUD GARABATOS, LAS LOMAS, PIURA, PIURA, PERU","OTROS CASERIO GARABATO LAS LOMAS CASERIO GARABATO LAS LOMAS LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS CENTRO SERVICIOS PARTIDOR CENTRO SERVICIOS PARTIDOR LAS LOMAS PIURA PIURA,,1943,,,PIURA,,1885,,,,,,PIURA,,1943,CENTRO DE SALUD EL PARTIDOR,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"CENTRO DE SALUD EL PARTIDOR, LAS LOMAS, PIURA, PIURA, PERU","OTROS CENTRO SERVICIOS PARTIDOR CENTRO SERVICIOS PARTIDOR LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",,,,,,PENDING,,PRIMARY
,OTROS COMUNIDAD LA MENTA COMUNIDAD LA MENTA LAS LOMAS PIURA PIURA,,1944,,,PIURA,,1886,,,,,,PIURA,,1944,PUESTO SALUD LA MENTA,,LAS LOMAS,200111,,ACTIVO,,,ACTIVO,,,,,,,"PUESTO SALUD LA MENTA, LAS LOMAS, PIURA, PIURA, PERU","OTROS COMUNIDAD LA MENTA COMUNIDAD LA MENTA LAS LOMAS PIURA PIURA, LAS LOMAS, PIURA, PIURA, PERU","LAS LOMAS, PIURA, PIURA, PERU",,,,,,PENDING,,PRIMARY
